,0,1,2,1
112,良く,実質:車,,1
113,良く,二:車,,1
114,良く,座:車,,1
115,硬め,する:乗り心地,,1
116,硬め,近い:乗り心地,,1
117,近い,する:乗り心地,,1
118,近い,近い:乗り心地,,1
119,可,可:ない,,1
120,可,不可:ない,,1
121,可,市街地:走る,,1
122,可,走る:レベル,,1
123,可,不満:ない,,1
124,可,車格:上,,1
125,可,1:上,,1
126,可,つ:上,,1
127,可,新:採用,,1
128,可,プラットフォーム:採用,,1
129,不可,可:ない,,1
130,不可,不可:ない,,1
131,不可,市街地:走る,,1
132,不可,走る:レベル,,1
133,不可,不満:ない,,1
134,不可,車格:上,,1
135,不可,1:上,,1
136,不可,つ:上,,1
137,不可,新:採用,,1
138,不可,プラットフォーム:採用,,1
139,上,可:ない,,1
140,上,不可:ない,,1
141,上,市街地:走る,,1
142,上,走る:レベル,,1
143,上,不満:ない,,1
144,上,車格:上,,1
145,上,1:上,,1
146,上,つ:上,,1
147,上,新:採用,,1
148,上,プラットフォーム:採用,,1
149,多,ノーズ:見える,,1
150,多,リアガラス:小さい,,1
151,多,死角:多い,,1
152,良く,悪い:ある,,1
153,良く,ある:コンパクトカー,,1
154,良く,悪い:コンパクトカー,,1
155,良く,凸凹:拾う,,1
156,良く,フロント:なる,,1
157,良く,ドタバタ:改良,,1
158,悪い,低:扁平率,,1
159,悪い,タイヤ:せい,,1
160,悪い,突き上げ:抑える,,1
161,悪い,抑える:わけ,,1
162,悪い,悪い:わけ,,1
163,悪い,エンジン:音,,1
164,悪い,異なる:たち,,1
165,悪い,電気:たち,,1
166,悪い,たち:入る,,1
167,悪い,モーター:たち,,1
168,悪い,由来:たち,,1
169,普通,低:扁平率,,1
170,普通,タイヤ:せい,,1
171,普通,突き上げ:抑える,,1
172,普通,抑える:わけ,,1
173,普通,悪い:わけ,,1
174,普通,エンジン:音,,1
175,普通,異なる:たち,,1
176,普通,電気:たち,,1
177,普通,たち:入る,,1
178,普通,モーター:たち,,1
179,普通,由来:たち,,1
180,少ない,お金:かける,,1
181,少ない,突き上げ:少ない,,1
182,少ない,・:普通,,1
183,少ない,普通:意味,,1
184,少ない,良い:意味,,1
185,少ない,・:意味,,1
186,普通,お金:かける,,1
187,普通,突き上げ:少ない,,1
188,普通,・:普通,,1
189,普通,普通:意味,,1
190,普通,良い:意味,,1
191,普通,・:意味,,1
192,軽い,車体:軽い,,1
193,軽い,突き上げる:感じ,,1
194,軽い,感じ:する,,1
195,軽い,空気:抵抗,,1
196,軽い,抵抗:抑える,,1
197,軽い,屋根:なる,,1
198,軽い,こと:ない,,1
199,軽い,ない:限り,,1
200,軽い,人:乗せる,,1
201,下,車体:軽い,,1
202,下,突き上げる:感じ,,1
203,下,感じ:する,,1
204,下,空気:抵抗,,1
205,下,抵抗:抑える,,1
206,下,屋根:なる,,1
207,下,こと:ない,,1
208,下,ない:限り,,1
209,下,人:乗せる,,1
210,抵抗,車体:軽い,,1
211,抵抗,突き上げる:感じ,,1
212,抵抗,感じ:する,,1
213,抵抗,空気:抵抗,,1
214,抵抗,抵抗:抑える,,1
215,抵抗,屋根:なる,,1
216,抵抗,こと:ない,,1
217,抵抗,ない:限り,,1
218,抵抗,人:乗せる,,1
219,厳しい,車体:軽い,,1
220,厳しい,突き上げる:感じ,,1
221,厳しい,感じ:する,,1
222,厳しい,空気:抵抗,,1
223,厳しい,抵抗:抑える,,1
224,厳しい,屋根:なる,,1
225,厳しい,こと:ない,,1
226,厳しい,ない:限り,,1
227,厳しい,人:乗せる,,1
228,剛性,静粛:感,,1
229,剛性,静粛性:感,,1
230,剛性,・:感,,1
231,剛性,剛性:感,,1
232,剛性,圧倒的:上,,1
233,剛性,アクア:上,,1
234,剛性,3:ハイブリッド,,1
235,剛性,・:ハッキリ,,1
236,剛性,分かる:もの,,1
237,剛性,振動:もの,,1
238,剛性,良い:もの,,1
239,剛性,分かる:こと,,1
240,剛性,こと:多い,,1
241,剛性,他人事:音,,1
242,剛性,I:dcd,,1
243,剛性,-:dcd,,1
244,剛性,dcd:ギクシャク,,1
245,剛性,踏む:方,,1
246,剛性,方:一定,,1
247,剛性,加速:感,,1
248,剛性,加速感:変わる,,1
249,剛性,乗り換える:時,,1
250,剛性,話:逸れる,,1
251,剛性,優先順位:付け,,1
252,剛性,付け:甘い,,1
253,剛性,エアコン:なる,,1
254,剛性,なる:場面,,1
255,剛性,低:走行,,1
256,剛性,負荷:走行,,1
257,剛性,走行:続く,,1
258,剛性,こと:なる,,1
259,剛性,高:バッテリー,,1
260,剛性,電圧:バッテリー,,1
261,剛性,バッテリー:使い果たす,,1
262,剛性,同じ:現象,,1
263,剛性,現象:発生,,1
264,剛性,パワー:システム,,1
265,剛性,電源:入れる,,1
266,剛性,充電:始める,,1
267,剛性,始める:バグ,,1
268,剛性,ハイブリッド:システム,,1
269,剛性,私:決断,,1
270,剛性,買い替え:決断,,1
271,圧倒的,静粛:感,,1
272,圧倒的,静粛性:感,,1
273,圧倒的,・:感,,1
274,圧倒的,剛性:感,,1
275,圧倒的,圧倒的:上,,1
276,圧倒的,アクア:上,,1
277,圧倒的,3:ハイブリッド,,1
278,圧倒的,・:ハッキリ,,1
279,圧倒的,分かる:もの,,1
280,圧倒的,振動:もの,,1
281,圧倒的,良い:もの,,1
282,圧倒的,分かる:こと,,1
283,圧倒的,こと:多い,,1
284,圧倒的,他人事:音,,1
285,圧倒的,I:dcd,,1
286,圧倒的,-:dcd,,1
287,圧倒的,dcd:ギクシャク,,1
288,圧倒的,踏む:方,,1
289,圧倒的,方:一定,,1
290,圧倒的,加速:感,,1
291,圧倒的,加速感:変わる,,1
292,圧倒的,乗り換える:時,,1
293,圧倒的,話:逸れる,,1
294,圧倒的,優先順位:付け,,1
295,圧倒的,付け:甘い,,1
296,圧倒的,エアコン:なる,,1
297,圧倒的,なる:場面,,1
298,圧倒的,低:走行,,1
299,圧倒的,負荷:走行,,1
300,圧倒的,走行:続く,,1
301,圧倒的,こと:なる,,1
302,圧倒的,高:バッテリー,,1
303,圧倒的,電圧:バッテリー,,1
304,圧倒的,バッテリー:使い果たす,,1
305,圧倒的,同じ:現象,,1
306,圧倒的,現象:発生,,1
307,圧倒的,パワー:システム,,1
308,圧倒的,電源:入れる,,1
309,圧倒的,充電:始める,,1
310,圧倒的,始める:バグ,,1
311,圧倒的,ハイブリッド:システム,,1
312,圧倒的,私:決断,,1
313,圧倒的,買い替え:決断,,1
314,上,静粛:感,,1
315,上,静粛性:感,,1
316,上,・:感,,1
317,上,剛性:感,,1
318,上,圧倒的:上,,1
319,上,アクア:上,,1
320,上,3:ハイブリッド,,1
321,上,・:ハッキリ,,1
322,上,分かる:もの,,1
323,上,振動:もの,,1
324,上,良い:もの,,1
325,上,分かる:こと,,1
326,上,こと:多い,,1
327,上,他人事:音,,1
328,上,I:dcd,,1
329,上,-:dcd,,1
330,上,dcd:ギクシャク,,1
331,上,踏む:方,,1
332,上,方:一定,,1
333,上,加速:感,,1
334,上,加速感:変わる,,1
335,上,乗り換える:時,,1
336,上,話:逸れる,,1
337,上,優先順位:付け,,1
338,上,付け:甘い,,1
339,上,エアコン:なる,,1
340,上,なる:場面,,1
341,上,低:走行,,1
342,上,負荷:走行,,1
343,上,走行:続く,,1
344,上,こと:なる,,1
345,上,高:バッテリー,,1
346,上,電圧:バッテリー,,1
347,上,バッテリー:使い果たす,,1
348,上,同じ:現象,,1
349,上,現象:発生,,1
350,上,パワー:システム,,1
351,上,電源:入れる,,1
352,上,充電:始める,,1
353,上,始める:バグ,,1
354,上,ハイブリッド:システム,,1
355,上,私:決断,,1
356,上,買い替え:決断,,1
357,良い,静粛:感,,1
358,良い,静粛性:感,,1
359,良い,・:感,,1
360,良い,剛性:感,,1
361,良い,圧倒的:上,,1
362,良い,アクア:上,,1
363,良い,3:ハイブリッド,,1
364,良い,・:ハッキリ,,1
365,良い,分かる:もの,,1
366,良い,振動:もの,,1
367,良い,良い:もの,,1
368,良い,分かる:こと,,1
369,良い,こと:多い,,1
370,良い,他人事:音,,1
371,良い,I:dcd,,1
372,良い,-:dcd,,1
373,良い,dcd:ギクシャク,,1
374,良い,踏む:方,,1
375,良い,方:一定,,1
376,良い,加速:感,,1
377,良い,加速感:変わる,,1
378,良い,乗り換える:時,,1
379,良い,話:逸れる,,1
380,良い,優先順位:付け,,1
381,良い,付け:甘い,,1
382,良い,エアコン:なる,,1
383,良い,なる:場面,,1
384,良い,低:走行,,1
385,良い,負荷:走行,,1
386,良い,走行:続く,,1
387,良い,こと:なる,,1
388,良い,高:バッテリー,,1
389,良い,電圧:バッテリー,,1
390,良い,バッテリー:使い果たす,,1
391,良い,同じ:現象,,1
392,良い,現象:発生,,1
393,良い,パワー:システム,,1
394,良い,電源:入れる,,1
395,良い,充電:始める,,1
396,良い,始める:バグ,,1
397,良い,ハイブリッド:システム,,1
398,良い,私:決断,,1
399,良い,買い替え:決断,,1
400,多い,静粛:感,,1
401,多い,静粛性:感,,1
402,多い,・:感,,1
403,多い,剛性:感,,1
404,多い,圧倒的:上,,1
405,多い,アクア:上,,1
406,多い,3:ハイブリッド,,1
407,多い,・:ハッキリ,,1
408,多い,分かる:もの,,1
409,多い,振動:もの,,1
410,多い,良い:もの,,1
411,多い,分かる:こと,,1
412,多い,こと:多い,,1
413,多い,他人事:音,,1
414,多い,I:dcd,,1
415,多い,-:dcd,,1
416,多い,dcd:ギクシャク,,1
417,多い,踏む:方,,1
418,多い,方:一定,,1
419,多い,加速:感,,1
420,多い,加速感:変わる,,1
421,多い,乗り換える:時,,1
422,多い,話:逸れる,,1
423,多い,優先順位:付け,,1
424,多い,付け:甘い,,1
425,多い,エアコン:なる,,1
426,多い,なる:場面,,1
427,多い,低:走行,,1
428,多い,負荷:走行,,1
429,多い,走行:続く,,1
430,多い,こと:なる,,1
431,多い,高:バッテリー,,1
432,多い,電圧:バッテリー,,1
433,多い,バッテリー:使い果たす,,1
434,多い,同じ:現象,,1
435,多い,現象:発生,,1
436,多い,パワー:システム,,1
437,多い,電源:入れる,,1
438,多い,充電:始める,,1
439,多い,始める:バグ,,1
440,多い,ハイブリッド:システム,,1
441,多い,私:決断,,1
442,多い,買い替え:決断,,1
443,甘い,静粛:感,,1
444,甘い,静粛性:感,,1
445,甘い,・:感,,1
446,甘い,剛性:感,,1
447,甘い,圧倒的:上,,1
448,甘い,アクア:上,,1
449,甘い,3:ハイブリッド,,1
450,甘い,・:ハッキリ,,1
451,甘い,分かる:もの,,1
452,甘い,振動:もの,,1
453,甘い,良い:もの,,1
454,甘い,分かる:こと,,1
455,甘い,こと:多い,,1
456,甘い,他人事:音,,1
457,甘い,I:dcd,,1
458,甘い,-:dcd,,1
459,甘い,dcd:ギクシャク,,1
460,甘い,踏む:方,,1
461,甘い,方:一定,,1
462,甘い,加速:感,,1
463,甘い,加速感:変わる,,1
464,甘い,乗り換える:時,,1
465,甘い,話:逸れる,,1
466,甘い,優先順位:付け,,1
467,甘い,付け:甘い,,1
468,甘い,エアコン:なる,,1
469,甘い,なる:場面,,1
470,甘い,低:走行,,1
471,甘い,負荷:走行,,1
472,甘い,走行:続く,,1
473,甘い,こと:なる,,1
474,甘い,高:バッテリー,,1
475,甘い,電圧:バッテリー,,1
476,甘い,バッテリー:使い果たす,,1
477,甘い,同じ:現象,,1
478,甘い,現象:発生,,1
479,甘い,パワー:システム,,1
480,甘い,電源:入れる,,1
481,甘い,充電:始める,,1
482,甘い,始める:バグ,,1
483,甘い,ハイブリッド:システム,,1
484,甘い,私:決断,,1
485,甘い,買い替え:決断,,1
486,渋滞,静粛:感,,1
487,渋滞,静粛性:感,,1
488,渋滞,・:感,,1
489,渋滞,剛性:感,,1
490,渋滞,圧倒的:上,,1
491,渋滞,アクア:上,,1
492,渋滞,3:ハイブリッド,,1
493,渋滞,・:ハッキリ,,1
494,渋滞,分かる:もの,,1
495,渋滞,振動:もの,,1
496,渋滞,良い:もの,,1
497,渋滞,分かる:こと,,1
498,渋滞,こと:多い,,1
499,渋滞,他人事:音,,1
500,渋滞,I:dcd,,1
501,渋滞,-:dcd,,1
502,渋滞,dcd:ギクシャク,,1
503,渋滞,踏む:方,,1
504,渋滞,方:一定,,1
505,渋滞,加速:感,,1
506,渋滞,加速感:変わる,,1
507,渋滞,乗り換える:時,,1
508,渋滞,話:逸れる,,1
509,渋滞,優先順位:付け,,1
510,渋滞,付け:甘い,,1
511,渋滞,エアコン:なる,,1
512,渋滞,なる:場面,,1
513,渋滞,低:走行,,1
514,渋滞,負荷:走行,,1
515,渋滞,走行:続く,,1
516,渋滞,こと:なる,,1
517,渋滞,高:バッテリー,,1
518,渋滞,電圧:バッテリー,,1
519,渋滞,バッテリー:使い果たす,,1
520,渋滞,同じ:現象,,1
521,渋滞,現象:発生,,1
522,渋滞,パワー:システム,,1
523,渋滞,電源:入れる,,1
524,渋滞,充電:始める,,1
525,渋滞,始める:バグ,,1
526,渋滞,ハイブリッド:システム,,1
527,渋滞,私:決断,,1
528,渋滞,買い替え:決断,,1
529,高,静粛:感,,1
530,高,静粛性:感,,1
531,高,・:感,,1
532,高,剛性:感,,1
533,高,圧倒的:上,,1
534,高,アクア:上,,1
535,高,3:ハイブリッド,,1
536,高,・:ハッキリ,,1
537,高,分かる:もの,,1
538,高,振動:もの,,1
539,高,良い:もの,,1
540,高,分かる:こと,,1
541,高,こと:多い,,1
542,高,他人事:音,,1
543,高,I:dcd,,1
544,高,-:dcd,,1
545,高,dcd:ギクシャク,,1
546,高,踏む:方,,1
547,高,方:一定,,1
548,高,加速:感,,1
549,高,加速感:変わる,,1
550,高,乗り換える:時,,1
551,高,話:逸れる,,1
552,高,優先順位:付け,,1
553,高,付け:甘い,,1
554,高,エアコン:なる,,1
555,高,なる:場面,,1
556,高,低:走行,,1
557,高,負荷:走行,,1
558,高,走行:続く,,1
559,高,こと:なる,,1
560,高,高:バッテリー,,1
561,高,電圧:バッテリー,,1
562,高,バッテリー:使い果たす,,1
563,高,同じ:現象,,1
564,高,現象:発生,,1
565,高,パワー:システム,,1
566,高,電源:入れる,,1
567,高,充電:始める,,1
568,高,始める:バグ,,1
569,高,ハイブリッド:システム,,1
570,高,私:決断,,1
571,高,買い替え:決断,,1
572,軽い,乗り心地:印象,,1
573,軽い,固い:印象,,1
574,軽い,車重:軽い,,1
575,軽い,リア:ヒョコヒョコ,,1
576,軽い,ヒョコヒョコ:感じ,,1
577,軽い,仕方ない:ところ,,1
578,低い,天井:低い,,1
579,低い,box:タイプ,,1
580,低い,慣れる:人,,1
581,キビキビ,キビキビ:足回り,,1
582,キビキビ,コーナリング:時,,1
583,キビキビ,ロール:抑える,,1
584,キビキビ,ガタガタ:連続,,1
585,キビキビ,連続:場合,,1
586,キビキビ,細かい:挙動,,1
587,キビキビ,吸収:悪い,,1
588,キビキビ,悪い:今一つ,,1
589,細かい,キビキビ:足回り,,1
590,細かい,コーナリング:時,,1
591,細かい,ロール:抑える,,1
592,細かい,ガタガタ:連続,,1
593,細かい,連続:場合,,1
594,細かい,細かい:挙動,,1
595,細かい,吸収:悪い,,1
596,細かい,悪い:今一つ,,1
597,今一つ,キビキビ:足回り,,1
598,今一つ,コーナリング:時,,1
599,今一つ,ロール:抑える,,1
600,今一つ,ガタガタ:連続,,1
601,今一つ,連続:場合,,1
602,今一つ,細かい:挙動,,1
603,今一つ,吸収:悪い,,1
604,今一つ,悪い:今一つ,,1
605,狭い,走行:性能,,1
606,狭い,突き上げ:ある,,1
607,狭い,そこ:なる,,1
608,狭い,なる:点,,1
609,狭い,後席:狭い,,1
610,狭い,2:2,,1
611,狭い,,:2,1
612,狭い,人:乗せる,,1
613,狭い,ロング:ツーリング,,1
614,狭い,ツーリング:無理,,1
615,無理,走行:性能,,1
616,無理,突き上げ:ある,,1
617,無理,そこ:なる,,1
618,無理,なる:点,,1
619,無理,後席:狭い,,1
620,無理,2:2,,1
621,無理,,:2,1
622,無理,人:乗せる,,1
623,無理,ロング:ツーリング,,1
624,無理,ツーリング:無理,,1
625,普通,これ:普通,,1
626,普通,シート:いただける,,1
627,普通,腰:なる,,1
628,硬め,好み:分かれる,,1
629,硬め,gr:スポーツ,,1
630,硬め,スポーツ:硬め,,1
631,硬め,耐えれる:人,,1
632,硬め,人:いる,,1
633,硬め,路面:走る,,1
634,硬め,走る:こと,,1
635,硬め,こと:オススメ,,1
636,オススメ,好み:分かれる,,1
637,オススメ,gr:スポーツ,,1
638,オススメ,スポーツ:硬め,,1
639,オススメ,耐えれる:人,,1
640,オススメ,人:いる,,1
641,オススメ,路面:走る,,1
642,オススメ,走る:こと,,1
643,オススメ,こと:オススメ,,1
644,硬め,よう:気,,1
645,硬め,気:する,,1
646,硬め,する:もの,,1
647,硬め,ゴツゴツ:感,,1
648,硬め,ゴツゴツ感:する,,1
649,硬め,乗り心地:悪い,,1
650,硬め,悪い:もの,,1
651,悪い,よう:気,,1
652,悪い,気:する,,1
653,悪い,する:もの,,1
654,悪い,ゴツゴツ:感,,1
655,悪い,ゴツゴツ感:する,,1
656,悪い,乗り心地:悪い,,1
657,悪い,悪い:もの,,1
658,ソフト,いい:乗り心地,,1
659,ソフト,硬い:訳,,1
660,ソフト,突き上げ:くる,,1
661,大き目,シート:運転,,1
662,大き目,大き目:私,,1
663,大き目,フィット:運転,,1
664,大き目,フワフワ:固め,,1
665,大き目,程々:固め,,1
666,大き目,運転:疲れ,,1
667,大き目,疲れ:ない,,1
668,フワフワ,シート:運転,,1
669,フワフワ,大き目:私,,1
670,フワフワ,フィット:運転,,1
671,フワフワ,フワフワ:固め,,1
672,フワフワ,程々:固め,,1
673,フワフワ,運転:疲れ,,1
674,フワフワ,疲れ:ない,,1
675,固め,シート:運転,,1
676,固め,大き目:私,,1
677,固め,フィット:運転,,1
678,固め,フワフワ:固め,,1
679,固め,程々:固め,,1
680,固め,運転:疲れ,,1
681,固め,疲れ:ない,,1
682,硬め,ある:硬め,,1
683,硬め,シート:良い,,1
684,硬め,腰痛:発生,,1
685,良い,ある:硬め,,1
686,良い,シート:良い,,1
687,良い,腰痛:発生,,1
688,落ち着き,2:車,,1
689,落ち着き,l:車,,1
690,落ち着き,落ち着き:ある,,1
691,少ない,乗り心地:上質,,1
692,少ない,不快:突き上げ,,1
693,少ない,れる感:少ない,,1
694,少ない,段差:通過,,1
695,少ない,よう:乗り心地,,1
696,少ない,低級:乗り心地,,1
697,少ない,古い:シャシー,,1
698,少ない,能力:不足,,1
699,大きめ,乗り心地:上質,,1
700,大きめ,不快:突き上げ,,1
701,大きめ,れる感:少ない,,1
702,大きめ,段差:通過,,1
703,大きめ,よう:乗り心地,,1
704,大きめ,低級:乗り心地,,1
705,大きめ,古い:シャシー,,1
706,大きめ,能力:不足,,1
707,古い,乗り心地:上質,,1
708,古い,不快:突き上げ,,1
709,古い,れる感:少ない,,1
710,古い,段差:通過,,1
711,古い,よう:乗り心地,,1
712,古い,低級:乗り心地,,1
713,古い,古い:シャシー,,1
714,古い,能力:不足,,1
715,不足,乗り心地:上質,,1
716,不足,不快:突き上げ,,1
717,不足,れる感:少ない,,1
718,不足,段差:通過,,1
719,不足,よう:乗り心地,,1
720,不足,低級:乗り心地,,1
721,不足,古い:シャシー,,1
722,不足,能力:不足,,1
